Wind Farm Name,Phase,Ref,MEC,Gate,Associated,Voltage,,Signed Date  (Month
"",,,(MW),,,,,Year)*
Ardderoo 2 (Formerly Buffy),,DG1012,64.20,Gate 3,Knockranny,,110kV,Oct 2018
Ardderoo Wind Farm,,TG62,27.00,Gate 3,Knockranny,,110kV,Oct 2018
Carrigdangan Wind Farm -,,TG44.,13.65,ECP-1,Dunmanway,,110kV,Jan 2020
Phase 2,,,,,,,,
Cloghan Wind Farm,,TG390,34.00,ECP-1,Derrycarney,,110kV,May 2020
Cloncreen Wind farm,,TG372,100.00,ECP-1,Cushaling,,110kV,Aug 2020
Coole Wind Farm,,TG431,88.00,ECP-2.1,Mullingar,,110kV,Oct 2021
Croaghonagh 1 Windfarm,,TG262,138.10,ECP-1,Clogher,,110kV,Dec 2019
Cushaling Wind Farm,,TG427,50.00,ECP-2.1,Philipstown,,110kV,Oct 2021
Drehid Wind Farm,,TG429,60.00,ECP-2.1,Mulgeeth,,110kV,Oct 2021
Firlough Windfarm,,TG371,48.30,ECP-1,Firlough,,110kV,Aug 2020
Knocknamona Wind Farm,,DG95,34.00,Gate 3,Woodhouse,,110kV,Aug 2018
"(Prev. Crohaun)",,,,,,,,
Lenalea Wind Farm,,TG352,30.10,ECP-1,Lenalea,,110kV,May 2020
Lisheen 3,,TG370,28.80,ECP-1,Lisheen,,110kV,Jan 2020
Moanvane Wind Farm,,TG428,60.00,ECP-2.1,Mount Lucas,,110kV,Aug 2021
Mully Graffy Windfarm,,TG369,29.90,ECP-1,Tievebrack,,110kV,May 2020
"(Kilgorman)",,,,,,,,
Oriel (1),,TG86,210.00,Gate 3,Oriel,,220kV,Mar 2015
Oweninny 3 (Previously,,TG71,50.00,Gate 3,Bellacorick,,400kV,Jan 2012
Oweninny 5),,,,,,,,
Oweninny Power (1),TG25,89.00,Gate 3,Srahnakilly,110kV,Aug 2014
Oweninny Power (2),TG26,83.00,Gate 3,Srahnakilly,110kV,Aug 2014
Pinewoods Wind Farm,TG430,49.50,ECP-2.1,Garrintaggart,110kV,Sep 2021
